imdb_title,tmdb_title,budget,revenue
The Lion King,The Lion King,45000000,763455561
Das Boot,Das Boot,14000000,85000000
How to Train Your Dragon,How to Train Your Dragon,0,0
Stand by Me,Stand by Me,8000000,52300000
Yojimbo,Yojimbo,0,0
Gangs of Wasseypur,Gangs of Wasseypur - Part 2,1670000,4900000
Ip Man,Ip Man,11700000,22100000
Planet of the Apes,Planet of the Apes,5800000,32589624
8½,8½,0,0
The General,The General,0,1214198
Nayakan,Nayakan,0,0
A Christmas Story,A Christmas Story,0,0
Pink Floyd: The Wall,Pink Floyd: The Wall,12000000,22244207
The Act of Killing,The Act of Killing,1000000,722714
Thuppakki,Thuppakki,11000000,23000000
X-Men: First Class,X-Men: First Class,160000000,353624124
Home Alone,Home Alone,18000000,476684675
Ex Machina,Ex Machina,15000000,36869414
The Game,The Game,50000000,109423648
Airplane!,Airplane!,3500000,83453539
Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory,3000000,4000000
A Prophet,A Prophet,13000000,17874044
My Left Foot,My Left Foot: The Story of Christy Brown,645180,14743391
3-Iron,3-Iron,0,3403957
The Return,The Return,15000000,11992014
Central Station,Central Station,2900000,5596708
Rififi,Rififi,200000,460000
The Breath,The Breath,2000000,13500000
Major,MAJOR!,0,0
"Rome, Open City","Rome, Open City",20000,1000000
Yi Yi,Yi Yi,0,0
Sarfarosh,Sarfarosh,0,0
A Christmas Carol,A Christmas Carol,0,0
50/50,50/50,8000000,39187783
Bonnie and Clyde,Bonnie and Clyde,2500000,50700000
The Day the Earth Stood Still,The Day the Earth Stood Still,80000000,233093859
Mother,Mother,0,19100000
The Girl Who Leapt Through Time,The Girl Who Leapt Through Time,0,3800000
The Chorus,The Chorus,5300000,83600000
Grizzly Man,Grizzly Man,0,0
"Blood In, Blood Out",The Inventor: Out for Blood in Silicon Valley,0,0
A Night at the Opera,A Night at the Opera,0,0
The Leopard,The Leopard,0,0
Nostalghia,Andrey Tarkovsky in Nostalghia,0,0
The Blue Elephant,The Blue Elephant,0,0
Through a Glass Darkly,Through a Glass Darkly,0,8939
Volver,Volver,0,0
Confessions,Confessions,0,0
The Edge of Heaven,The Edge of Heaven,3800000,17804565
Dragon Ball Super: Broly,Dragon Ball Super: Broly,1000000,125002821
My Uncle,My Uncle,0,0
Borat,"Borat: VHS Cassette of Material Deemed ""Sub-Acceptable"" by Kazakhstan Ministry of Censorship and Circumcision",0,0
Begin Again,Begin Again,8000000,63500000
National Lampoon's Animal House,Unseen + Untold: National Lampoon's Animal House,0,0
Dead Alive,Dead or Alive 2: Birds,0,0
March of the Penguins,March of the Penguins,8000000,127392693
Show Me Love,Show Me Love,0,0
White Christmas,White Christmas,0,1109388
Drunken Master II,Drunken Master III,0,0
It's a Mad Mad Mad Mad World,It's a Mad World,0,0
 '83,Eternal 831,0,0
Boy A,Boy A,0,1200398
The Odd Couple,The Odd Couple,1200000,44527234
Tora! Tora! Tora!,Tora! Tora! Tora!,25485000,37150000
Mortal World,Mortal World,0,1562712
Marcel the Shell with Shoes On,Marcel the Shell with Shoes On,6000000,6909209
A Hero,A Hero,0,0
1900,1900,9000000,0
New World,New World,0,0
Between Family,Between Friends and Family,0,0
Seeking True Love,Foolishly Seeking True Love,0,0
Chup,Chup,0,0
Darr,Darr,0,0
X-Men,X-Men,75000000,296339527
Bullet Train,Bullet Train,90000000,239300000
Dumb and Dumber,Dumb and Dumber,16000000,247275374
Wall Street,Wall Street,15000000,43900000
The King,The King,0,0
Rust and Bone,Rust and Bone,15400000,25762027
Blow-Up,Blow-Up,1800000,0
Who Am I,Who Am I,0,7700259
Oliver!,Oliver!,10000000,37400000
Magic Carpet Ride,Magic Carpet Ride,0,14188490
In the House,In the House,0,11879046
To Strike,Journey to the West: The Demons Strike Back,63900000,248805149
The Stranger,The Stranger,0,149441
You're Not You,You're Not You,0,894964
Super Size Me,Super Size Me,65000,28575078
Force Majeure,Force Majeure,0,4094339
Suck Me Shakespeer,Suck Me Shakespeer,0,77676735
Memphis Belle,Memphis Belle,23000000,0
Under the Shadow,Under the Shadow,0,0
The Big Boss,The Big Boss,100000,0
Saturday Night,Saturday Night,0,0
Muppet Treasure Island,Muppet Treasure Island,31000000,34300000
Leap!,Leap Year,0,0
Liar Liar,Liar Liar,45000000,302710615
Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,15000000,107217396
Non-Stop,Non-Stop,0,0
Hocus Pocus,Hocus Pocus,28000000,51663767
Nymphomaniac: Vol. I,Nymphomaniac: Vol. I,2350000,13545832
A Ghost Story,A Ghost Story,100000,1929659
I See You,I See You,3000000,0
Working Girl,Working Girl,28000000,103173635
Florence Foster Jenkins,Florence Foster Jenkins,29000000,48902953
Ju-on: The Grudge,Ju-on: The Grudge,3500000,3657876
The Idiots,The Idiots,2500000,7200
Rare Exports,Rare Exports: A Christmas Tale,0,0
In a World...,In a World...,1000000,2963902
Men in Black³,Men in Black,90000000,589400000
The Mighty Ducks,The Mighty Ducks,10000000,50752337
Far and Away,Far and Away,60000000,137783840
Emma.,Emma.,10000000,25200000
Black Rain,Black Rain,30000000,134212055
The Wonder,The Wonder,0,0
The Grandmaster,The Grandmaster,38600000,64076736
Batman: The Movie,The Lego Batman Movie,80000000,311950384
Enola Holmes,Enola Holmes,21000000,0
Puss in Boots,Puss in Boots,130000000,554987477
30 Days of Night,30 Days of Night,30000000,80276156
You're Next,You're Next,1000000,14347000
[Rec]²,[REC]²,5600000,18469680
Hoodwinked!,Hoodwinked!,8000000,110000000
Last Night,Last Night,0,0
Incident in a Ghostland,The Phantom Image: The Making of Incident in a Ghostland,0,0
On the Rocks,On the Rocks,0,992103
Dabangg,Dabangg,9370000,0
The Bar,The Bar,0,0
Den of Thieves: Pantera,Den of Thieves 2: Pantera,40000000,54586117
Resident Evil,Resident Evil,33000000,102984862
Road Trip,Road Trip,16000000,119754278
Sonic the Hedgehog,Sonic the Hedgehog,85000000,319715683
Under Siege,Under Siege,35000000,156563139
The Night Before,The Night Before,0,0
Weekend at Bernie's,Weekend at Bernie's,6500000,30218387
Last Man Standing,Last Man Standing,0,0
Night Watch,Night Watch,0,0
#Alive,#Alive,6300000,13416285
W.,W.,25100000,29506464
Rising Sun,Rising Sun,40000000,107198790
Sleepaway Camp,Sleepaway Camp,350000,11000000
Man of the Year,Man of the Year,20000000,42500000
Savi,Saving Bikini Bottom: The Sandy Cheeks Movie,100000000,0
Book Club,Book Club,10000000,78720293
Dark Star,Dark Star,60000,0
The Woman,The Woman,0,0
Alien³,Alien³,50000000,159773545
Van Wilder,Van Wilder: Freshman Year,6000000,20543
Delivery Man,Delivery Man,0,0
Upside Down,Upside Down,60000000,22187813
Dorian Gray,Dorian Gray,0,4706919
Diary of a Wimpy Kid,Diary of a Wimpy Kid,15000000,76196538
